Percent admitted,Admissions yield,Tuition and fees,Control of institution,Degree of urbanization,Total enrollment,Undergraduate enrollment,Graduate enrollment,Asian proportion,Black proportion,Hispanic/Latino proportion,Whie proportion,Student-to-faculty ratio,Full-time retention rate,Undergraduates in state,Undergraduates out of state,Undergraduates foreign,Graduation rate,Average professor salary,Total FTE staff,Total library expenditures per FTE,Total dormitory capacity,Books and supplies 2017-18,Full-time enrollment,Part-time enrollment
90,17,9857,Public,City: Midsize,6001,5038,963,0,89,1,4,18,59,667,611,0,24,86607,859,507,2614,1600,5335,666
92,33,8328,Public,City: Midsize,20902,13134,7768,6,21,3,60,19,84,1935,327,37,53,133824,8686,595,2785,1200,13734,7168
,,6900,Private not-for-profit,City: Midsize,675,322,353,0,17,0,14,12,67,,,,18,31376,62,275,,1500,252,423
81,37,10280,Public,City: Midsize,9101,7090,2011,4,10,4,72,16,82,,,,49,126184,1415,372,1652,1956,6645,2456
98,14,11068,Public,City: Midsize,4760,4208,4208,1,91,1,4,15,59,593,369,5,28,88935,885,507,2491,1600,4191,569
,,,Public,City: Small,,,,,,,,,,,,,,,90,,,,,
53,36,10780,Public,City: Small,38563,33305,5258,1,11,5,77,23,87,2406,4944,45,68,145143,6166,614,8449,1200,33298,5265
,,4440,Public,Town: Distant,1835,1835,0,0,24,1,73,20,63,382,10,1,28,,161,218,,1200,924,911
,,,Public,Town: Fringe,3114,2967,147,1,14,3,76,15,,,,,,86139,279,408,,,1238,1876
83,33,8020,Public,City: Midsize,4894,4313,581,2,37,1,49,16,68,591,25,52,28,90275,612,480,1200,1100,3449,1445
84,32,10968,Public,City: Small,29776,23964,5812,2,6,3,76,19,92,2776,1990,70,77,123177,5742,575,4737,1200,25158,4618
62,22,35804,Private not-for-profit,City: Midsize,1283,1283,0,6,12,2,79,13,75,195,149,5,66,80613,307,779,1597,1260,1272,11
,,4314,Public,Rural: Fringe,1424,1424,0,1,41,6,48,16,55,,,,20,,129,187,,800,820,604
,,10320,Private not-for-profit,Town: Distant,389,389,0,0,90,1,3,20,35,,,,15,59400,111,834,356,1600,361,28
,,17014,Private for-profit,City: Midsize,453,369,84,1,70,2,25,11,38,,,,19,,65,408,,1500,287,166
,,4440,Public,Town: Distant,1778,1778,0,2,20,5,69,17,50,385,13,0,19,,155,229,,1000,908,870
,,4380,Public,Town: Distant,4968,4968,0,1,18,4,72,25,60,1096,36,0,14,,207,137,465,1550,2486,2482
51,28,20970,Private not-for-profit,City: Midsize,3350,2672,678,1,42,2,49,15,58,239,83,11,28,71810,349,184,704,1800,2314,1036
,,3600,Public,City: Small,4979,4979,0,1,19,4,71,18,59,1032,10,15,20,,449,181,110,1500,2465,2514
,,,Private for-profit,Town: Distant,83,83,0,0,2,10,88,15,87,,,,84,,10,,,,83,0
,,4380,Public,City: Small,4645,4645,0,1,28,3,66,17,66,890,26,0,24,,339,148,,1900,1929,2716
,,3726,Public,Town: Distant,5301,5301,0,1,6,5,84,16,64,1281,22,0,40,,393,48,180,1400,2554,2747
,,4140,Public,Town: Distant,1471,1471,0,0,73,1,23,13,59,280,1,0,22,,181,131,,1875,820,651
76,63,13850,Private not-for-profit,Suburb: Large,551,537,14,0,60,3,29,12,50,,,,44,,34,,,0,251,300
56,25,26400,Private not-for-profit,City: Midsize,1102,1102,0,0,21,6,64,15,65,181,110,3,37,81146,197,516,629,300,878,224
100,100,11232,Private not-for-profit,City: Small,89,59,30,0,6,3,81,9,100,,,,25,,28,2645,36,1000,33,56
,,4410,Public,City: Midsize,752,752,0,1,52,2,36,13,40,119,2,0,14,,100,319,,2000,366,386
,,4968,Public,Suburb: Large,449,449,0,0,59,1,39,11,75,,,,43,,105,,,612,359,90
54,35,8166,Public,City: Small,8567,7491,1076,1,19,1,71,19,74,905,228,2,37,77788,979,419,1955,1498,5756,2811
,,4088,Public,Town: Distant,746,746,0,2,32,1,57,16,55,252,27,0,26,,92,362,128,1600,462,284
,,4500,Public,City: Midsize,8840,8840,0,2,21,5,65,19,57,1601,29,4,9,,495,144,,2114,2647,6193
,,4520,Public,Rural: Fringe,9861,9861,0,2,17,5,67,24,65,1907,33,0,25,,522,92,,1500,3307,6554
51,26,17896,Private not-for-profit,Rural: Remote,315,315,0,2,20,3,72,6,58,,,,32,62308,107,775,248,1250,230,85
,,4440,Public,City: Midsize,3248,3248,0,1,81,2,15,18,52,884,22,2,14,,280,231,132,1600,1726,1522
28,22,9204,Public,Rural: Remote,4646,2111,2535,0,38,1,51,13,66,,,,33,73033,496,202,851,1216,4235,411
,,4440,Public,Rural: Fringe,1838,1838,0,0,21,2,73,17,66,443,22,0,35,,161,224,,1192,957,881
56,47,9418,Public,Rural: Remote,446,446,0,3,17,6,65,16,40,125,155,0,34,,113,373,500,1800,442,4
,,11794,Private not-for-profit,Suburb: Large,1650,1650,0,0,96,1,2,15,50,,,,21,48612,299,201,888,1200,1555,95
47,32,22210,Private not-for-profit,Rural: Fringe,1604,1443,161,1,20,2,54,14,69,,,,45,53640,222,271,652,1800,1222,382
64,39,12400,Public,Suburb: Large,2717,2346,371,1,16,5,70,14,78,,,,50,79819,517,478,1337,1020,2258,459
,,4411,Public,City: Small,3440,3440,0,0,8,6,82,20,57,758,8,0,16,,269,158,,1750,1436,2004
70,40,8480,Public,City: Small,7204,6064,1140,1,15,3,73,18,76,,,,45,79874,731,449,2139,1500,5424,1780
,,4440,Public,Rural: Distant,2736,2736,0,0,2,10,83,18,62,615,7,0,32,,199,265,,2400,1222,1514
47,32,16720,Private not-for-profit,City: Midsize,1711,1650,61,1,82,4,1,12,70,55,285,22,47,51198,367,475,1243,1440,1575,136
,,4380,Public,Rural: Fringe,982,982,0,0,38,1,57,17,54,281,18,0,37,,128,333,,1600,539,443
,,,Private for-profit,City: Midsize,,,,,,,,,,,,,,,,,,,,
,,4500,Public,Rural: Fringe,392,392,0,0,49,1,48,12,47,,,,27,,53,,,1125,181,211
,,4440,Public,City: Midsize,3233,3233,0,2,61,2,29,18,50,773,22,8,15,,248,176,,1500,1557,1676
83,27,30490,Private not-for-profit,Suburb: Large,5509,3373,2136,1,10,3,81,12,87,,,,76,102501,1076,839,2375,1000,5190,319
,,7115,Private not-for-profit,Town: Distant,324,311,13,0,97,1,2,13,33,53,2,0,2,,37,,68,1200,234,90
